S.No.,NepaliDescription,EnglishDescription,Description,Category,Rate (Rs. per 1000),,,,,,,,,,,,,,,,,,,,,,,,
104,सवािी साधिको ग्यािेर्ज तथा ममगत,Motor Vehicle Garages with Work of Maintenance,Motor Vehicle Garages with Work of Maintenance सवािी साधिको ग्यािेर्ज तथा ममगत,सामान्य जोखिम,2,,,,,,,,,,,,,,,,,,,,,,,,
105,सवािी साधिको नवक्रीकक्ष, शोरूम (र्ािी तथा यन्त्र उपकिणको) तथा सनभगस कक्ष, शोरूम (र्ािी तथा यन्त्र उपकिणको) तथा सनभगस कक्ष सवािी साधिको नवक्रीकक्ष,Sales,Showroom and ServiceVehicles Center of Vehicle Machinary and Equipemnt,सामान्य जोखिम,2,,,,,,,,,,,,,,,,,,,,,,
106,सवािी साधिको स्पेयि पाटस,Spare Parts of Vehicle,Spare Parts of Vehicle सवािी साधिको स्पेयि पाटस,सामान्य जोखिम,2,,,,,,,,,,,,,,,,,,,,,,,,
107,सार्कल,Bicycle,Bicycle सार्कल,सामान्य जोखिम,2,,,,,,,,,,,,,,,,,,,,,,,,
108,सामनहक भोर्जिालय,Mess,Mess सामनहक भोर्जिालय,सामान्य जोखिम,2,,,,,,,,,,,,,,,,,,,,,,,,
109,सावगर्जनिक भवि,Public Hall,Public Hall सावगर्जनिक भवि,सामान्य जोखिम,2,,,,,,,,,,,,,,,,,,,,,,,,
110,नसमेन्ट,Cement,Cement नसमेन्ट,सामान्य जोखिम,2,,,,,,,,,,,,,,,,,,,,,,,,
111,सि ि चादीको ताि तथा सिको र्जलप,Gold thread and Gilding,Gold thread and Gilding सि ि चादीको ताि तथा सिको र्जलप,सामान्य जोखिम,2,,,,,,,,,,,,,,,,,,,,,,,,
112,सि, चाँनद, चाँनद सि, प्लानटिम,Gold, Silver, Platinum,सामान्य जोखिम,2,,,,,,,,,,,,,,,,,,,,
113,सेि,Shed,Shed सेि,सामान्य जोखिम,2,,,,,,,,,,,,,,,,,,,,,,,,
114,सेिानमक,Ceramic Products,Ceramic Products सेिानमक,सामान्य जोखिम,2,,,,,,,,,,,,,,,,,,,,,,,,
115,स्टेनियम [र्न्िोि तथा आउटिोि],Stadium [Indoor and Outdoor],Stadium [Indoor and Outdoor] स्टेनियम [र्न्िोि तथा आउटिोि],सामान्य जोखिम,2,,,,,,,,,,,,,,,,,,,,,,,,
116,स्पा तथा सौिा,Spa and Sauna,Spa and Sauna स्पा तथा सौिा,सामान्य जोखिम,2,,,,,,,,,,,,,,,,,,,,,,,,
117,स्पोटस सामग्री,Sports Goods,Sports Goods स्पोटस सामग्री,सामान्य जोखिम,2,,,,,,,,,,,,,,,,,,,,,,,,
118,स्वीट नमट,Sweat Meat,Sweat Meat स्वीट नमट,सामान्य जोखिम,2,,,,,,,,,,,,,,,,,,,,,,,,
119,हस्तकलाका सामग्री,Handicrafts,Handicrafts हस्तकलाका सामग्री,सामान्य जोखिम,2,,,,,,,,,,,,,,,,,,,,,,,,
120,हार्टेन्सि लार्ि, खम्बा वा टावि, खम्बा वा टावि हार्टेन्सि लार्ि,Hi-Tension Line, Pole and Tower,सामान्य जोखिम,2,,,,,,,,,,,,,,,,,,,,,,
121,नहिा,Diamonds,Diamonds नहिा,सामान्य जोखिम,2,,,,,,,,,,,,,,,,,,,,,,,,
122,हेल्मेट,Helmet,Helmet हेल्मेट,सामान्य जोखिम,2,,,,,,,,,,,,,,,,,,,,,,,,
123,होटल,Hotel,Hotel होटल,सामान्य जोखिम,2,,,,,,,,,,,,,,,,,,,,,,,,
124,होमस्टे,Homestay,Homestay होमस्टे,सामान्य जोखिम,2,,,,,,,,,,,,,,,,,,,,,,,,
125,होनिगङ बोिग,Hoarding Board,Hoarding Board होनिगङ बोिग,सामान्य जोखिम,2,,,,,,,,,,,,,,,,,,,,,,,,
126,ह्याचिी,Hatchary,Hatchary ह्याचिी,सामान्य जोखिम,2,,,,,,,,,,,,,,,,,,,,,,,,
127,अर्िविी तथा धप,Agarbatti and Dhoop,Agarbatti and Dhoop अर्िविी तथा धप,मध्यम जोखिम,3,,,,,,,,,,,,,,,,,,,,,,,,
